Disease,Medicine,Medicine_Type,Dosage_Notes,Disclaimer
Allergy,Corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Allergy,Immunotherapy (allergy shots),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Angina,Nitroglycerin (sublingual),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Angina,Beta-blockers,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Angina,Calcium channel blockers,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Angina,Aspirin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Angina,Statins,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anxiety,"SSRIs (e.g., Escitalopram)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anxiety,"SNRIs (e.g., Duloxetine)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anxiety,Benzodiazepines (short-term use),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anxiety,Buspirone,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Anxiety,Cognitive Behavioral Therapy (CBT),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Appendicitis,Surgical removal (Appendectomy),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Appendicitis,"Pre-operative antibiotics (e.g., Ceftriaxone + Metronidazole)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Appendicitis,Pain management,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Appendicitis,IV fluids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Appendicitis,NPO status before surgery,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Arthritis Of The Hip,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Arthritis Of The Hip,Corticosteroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Arthritis Of The Hip,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Arthritis Of The Hip,Glucosamine supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Arthritis Of The Hip,Hip replacement surgery (in advanced cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Asthma,"Inhaled corticosteroids (e.g., Fluticasone)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Asthma,"Beta-agonists (e.g., Albuterol)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Asthma,"Leukotriene modifiers (e.g., Montelukast)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Asthma,"Anticholinergics (e.g., Ipratropium)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Asthma,Omalizumab,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Benign Prostatic Hyperplasia (bph),"Alpha blockers (e.g., Tamsulosin)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Benign Prostatic Hyperplasia (bph),"5-alpha reductase inhibitors (e.g., Finasteride)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Benign Prostatic Hyperplasia (bph),Tadalafil (for symptoms),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Benign Prostatic Hyperplasia (bph),"Surgical options (e.g., TURP)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Benign Prostatic Hyperplasia (bph),Lifestyle changes,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Brachial Neuritis,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Brachial Neuritis,Oral corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Brachial Neuritis,Gabapentin or Pregabalin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Brachial Neuritis,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Brachial Neuritis,Pain management,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Bursitis,"NSAIDs (e.g., Ibuprofen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Bursitis,Corticosteroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Bursitis,Ice packs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Bursitis,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Bursitis,Antibiotics (if septic bursitis),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Carpal Tunnel Syndrome,Wrist splint,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Carpal Tunnel Syndrome,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Carpal Tunnel Syndrome,Corticosteroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Carpal Tunnel Syndrome,Gabapentin (if nerve pain),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Carpal Tunnel Syndrome,Surgical decompression (if severe),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cholecystitis,"IV antibiotics (e.g., Ceftriaxone + Metronidazole)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cholecystitis,"Pain relievers (e.g., Morphine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cholecystitis,IV fluids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cholecystitis,NPO (nothing by mouth),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cholecystitis,Cholecystectomy (surgical removal of gallbladder),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Back Pain,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Back Pain,Muscle relaxants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Back Pain,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Back Pain,Epidural steroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Back Pain,"Chronic pain management (e.g., TENS, acupuncture)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Constipation,"Laxatives (e.g., Polyethylene glycol)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Constipation,"Stool softeners (e.g., Docusate)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Constipation,"Fiber supplements (e.g., Psyllium)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Constipation,"Osmotic agents (e.g., Lactulose)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Constipation,Prokinetics,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Obstructive Pulmonary Disease (copd),"Bronchodilators (e.g., Salbutamol)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Obstructive Pulmonary Disease (copd),Inhaled corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Obstructive Pulmonary Disease (copd),"Phosphodiesterase-4 inhibitors (e.g., Roflumilast)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Obstructive Pulmonary Disease (copd),Oxygen therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Chronic Obstructive Pulmonary Disease (copd),Antibiotics during exacerbations,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Common Cold,Paracetamol,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Common Cold,Ibuprofen,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Common Cold,"Decongestants (e.g., Pseudoephedrine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Common Cold,Antihistamines,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Common Cold,"Cough syrups (e.g., Dextromethorphan)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Complex Regional Pain Syndrome,Gabapentin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Complex Regional Pain Syndrome,Amitriptyline,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Complex Regional Pain Syndrome,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Complex Regional Pain Syndrome,Corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Complex Regional Pain Syndrome,Nerve blocks,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Concussion,Rest,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Concussion,Acetaminophen (avoid NSAIDs early),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Concussion,Cognitive rest,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Concussion,Hydration,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Concussion,Gradual return to activities,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis,"Antibiotic eye drops (e.g., Erythromycin, Moxifloxacin)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis,"Antiviral drops (e.g., Ganciclovir for herpes)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis,Lubricant drops,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis,Antihistamines (for allergic type),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis,Cool compresses,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis Due To Allergy,"Antihistamine eye drops (e.g., Olopatadine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis Due To Allergy,"Mast cell stabilizers (e.g., Ketotifen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis Due To Allergy,Artificial tears,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis Due To Allergy,Oral antihistamines,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Conjunctivitis Due To Allergy,Cold compress,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Contact Dermatitis,"Topical corticosteroids (e.g., Hydrocortisone)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Contact Dermatitis,Oral antihistamines,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Contact Dermatitis,Moisturizers,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Contact Dermatitis,Avoidance of allergen/irritant,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Contact Dermatitis,Oral corticosteroids (if severe),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cornea Infection,"Antibiotic eye drops (e.g., Ciprofloxacin)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cornea Infection,"Antiviral eye drops (e.g., Ganciclovir)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cornea Infection,"Antifungal drops (e.g., Natamycin)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cornea Infection,Lubricant eye drops,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cornea Infection,Steroids (in selected cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Croup,Dexamethasone (oral or IM),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Croup,Nebulized epinephrine,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Croup,Humidified air,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Croup,Antipyretics,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Croup,Hydration,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cystitis,Nitrofurantoin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cystitis,Trimethoprim-sulfamethoxazole,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cystitis,Fosfomycin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cystitis,Phenazopyridine (for pain relief),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Cystitis,Hydration,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Degenerative Disc Disease,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Degenerative Disc Disease,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Degenerative Disc Disease,Muscle relaxants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Degenerative Disc Disease,Steroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Degenerative Disc Disease,"Surgery (e.g., spinal fusion in advanced cases)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dental Caries,Fluoride toothpaste or gel,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dental Caries,Dental fillings,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dental Caries,Chlorhexidine mouth rinse,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dental Caries,Analgesics for pain,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Dental Caries,Root canal therapy (if advanced),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Depression,"SSRIs (e.g., Sertraline, Escitalopram)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Depression,"SNRIs (e.g., Venlafaxine)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Depression,"Atypical antidepressants (e.g., Bupropion)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Depression,Cognitive Behavioral Therapy (CBT),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Depression,Psychotherapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Developmental Disability,Speech therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Developmental Disability,Occupational therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Developmental Disability,Behavioral therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Developmental Disability,"Medications (e.g., Risperidone for irritability in autism)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Developmental Disability,Special education programs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diaper Rash,Zinc oxide cream,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diaper Rash,Petroleum jelly,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diaper Rash,"Topical antifungals (e.g., Clotrimazole)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diaper Rash,Hydrocortisone cream (short-term),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diaper Rash,Frequent diaper changes,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diverticulitis,"Antibiotics (e.g., Ciprofloxacin + Metronidazole)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diverticulitis,Clear liquid diet (during flare),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diverticulitis,Pain relievers,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diverticulitis,High-fiber diet (after recovery),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Diverticulitis,Surgery (if complications),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Drug Reaction,Discontinuation of offending drug,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Drug Reaction,"Antihistamines (e.g., Diphenhydramine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Drug Reaction,Corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
