Disease,Workout,Frequency
Bursitis,Gentle range-of-motion exercises: Prevent joint stiffness; Low-impact cardio: Like swimming or cycling; Stretching: Keep affected areas flexible; Avoid pressure on joints: Use proper form and padding,Requires Clinical Validation - not specified in source data
Cancer,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Carpal Tunnel Syndrome,Wrist stretching: Relieve nerve pressure; Hand-strengthening exercises: Use putty or bands; Avoid repetitive strain: Modify activities; Yoga: Helps with posture and nerve health,Requires Clinical Validation - not specified in source data
Cholecystitis,Gentle movement: After inflammation resolves; Avoid high-fat pre-workout meals; Walking: Improves digestion; Avoid core strain: Prevent gallbladder pressure,Requires Clinical Validation - not specified in source data
Chronic Back Pain,"Core stabilization: Essential for support; Water aerobics: Minimal spinal impact; Stretching: Hamstrings, hips, and back; Avoid high-impact sports",Requires Clinical Validation - not specified in source data
Chronic Constipation,Walking: Stimulates bowel movement; Yoga: Helps with digestion; Core-focused stretching: Gently activates abdomen; Hydration pre- and post-workout: Key support,Requires Clinical Validation - not specified in source data
Chronic Kidney Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Chronic Liver Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Chronic Obstructive Pulmonary Disease (copd),Pursed-lip breathing: Improve oxygen use; Walking: Build endurance safely; Stationary biking: Low strain on lungs; Pulmonary rehabilitation exercises: Doctor-guided regimens,Requires Clinical Validation - not specified in source data
Cirrhosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Common Cold,Rest: Essential during acute phase; Gentle yoga: After fever subsides; Walking: Once energy returns; Breathing exercises: Open airways,Requires Clinical Validation - not specified in source data
Complex Regional Pain Syndrome,Gentle stretching: Prevent contractures; Desensitization exercises: Rebuild nerve tolerance; Mirror therapy: Improve brain-muscle coordination; Aqua therapy: Low-pain water exercises,Requires Clinical Validation - not specified in source data
Concussion,Rest: Most important early step; Gentle stretching: After symptoms improve; Walking: Light activity to reintroduce movement; Avoid screens and bright lights: Limit visual strain,Requires Clinical Validation - not specified in source data
Conjunctivitis,Avoid water sports: Prevent further irritation; Gentle indoor walking: Prevent eye strain; Do not share gym equipment; Clean face after workouts,Requires Clinical Validation - not specified in source data
Conjunctivitis Due To Allergy,Indoor exercises: Avoid allergens like pollen; Gentle yoga: Avoid face touching; Stretching: Avoid eye strain; Avoid swimming: Prevent eye irritation,Requires Clinical Validation - not specified in source data
Contact Dermatitis,Avoid sweating heavily: Can irritate skin; Indoor stretching: Cool and dry; Use breathable clothing: During workouts; Clean skin after exercise: Prevent flare-ups,Requires Clinical Validation - not specified in source data
Copd,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Cornea Infection,Rest the eyes: Avoid screen-heavy workouts; Gentle walking: Safe and non-straining; Indoor stretching: Limits light exposure; Avoid swimming: Prevent waterborne pathogens,Requires Clinical Validation - not specified in source data
Coronary Artery Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Covid-19,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Covid19,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Crohn Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Croup,Rest: Until breathing improves; Steam inhalation: Open airways; Avoid exertion: May worsen symptoms; Gentle play: Indoors and calm once recovering,Requires Clinical Validation - not specified in source data
Cystic Fibrosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Cystitis,Walking: Safe and bladder-friendly; Hydration focus: Before and after; Pelvic floor exercises: Improve control; Avoid workouts that cause dehydration,Requires Clinical Validation - not specified in source data
Degenerative Disc Disease,Back stretches: Increase flexibility; Core strengthening: Reduce spinal pressure; Low-impact aerobics: Walking or elliptical; Avoid heavy lifting: Prevent worsening symptoms,Requires Clinical Validation - not specified in source data
Dementia,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Dengue,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Dental Caries,Hydration focus: Water during exercise to reduce acid; Avoid sugary drinks: During workouts; Regular workouts: Support overall oral health; No intense jaw activities: Prevent further damage,Requires Clinical Validation - not specified in source data
Depression,Aerobic exercise: Boosts mood via endorphins; Yoga: Mind-body balance; Group activities: Enhance motivation; Walking in nature: Proven to reduce symptoms,Requires Clinical Validation - not specified in source data
Dermatitis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Developmental Disability,Occupational therapy-integrated activities; Swimming: Enhances motor coordination; Group play or structured fitness; Balance and core work: Tailored to individual ability,Requires Clinical Validation - not specified in source data
Diabetes,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Diaper Rash,Not exercise-relevant: Focus on hygiene; Avoid heat and sweat buildup; Let skin breathe; Gentle motion in open diapers (for infants),Requires Clinical Validation - not specified in source data
Diverticulitis,Rest: During acute phase; Walking: Light and easy on digestion; Avoid heavy weights: Prevent abdominal strain; Hydration support during and after workouts,Requires Clinical Validation - not specified in source data
Drug Reaction,Rest: While recovering from adverse reactions; Low-intensity movement: Once stabilized; Breathing exercises: Calm stress responses; Avoid sun exposure: If on photosensitive medications,Requires Clinical Validation - not specified in source data
Ear Drum Damage,Avoid swimming and underwater sports; Walking: Safe and low-impact; Stretching: Avoid head-down positions; Protect ears from loud music/explosive sports,Requires Clinical Validation - not specified in source data
Eczema,"Avoid sweat-heavy routines; Indoor walking or light yoga; Cool, breathable workout clothing; Shower promptly after exercise",Requires Clinical Validation - not specified in source data
Ehlers Danlos Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Epilepsy,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Esophagitis,Avoid high-impact workouts post meals; Walking: Gentle digestive aid; Breathing exercises: Ease reflux; No crunches or abdominal pressure,Requires Clinical Validation - not specified in source data
Eustachian Tube Dysfunction (ear Disorder),"Avoid pressure changes: No underwater or flying sports; Breathing and jaw exercises: Promote drainage; Gentle yoga: Avoid headstand poses; Walking: Comfortable, low pressure",Requires Clinical Validation - not specified in source data
Fanconi Anemia,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Flu,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Food Poisoning,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Fungal Infection Of The Hair,Avoid shared gym equipment: Prevent spread; Indoor yoga: No sweat-heavy environments; Dry scalp after workouts: Prevent fungus growth; Low-sweat activities: Reduce moisture,Requires Clinical Validation - not specified in source data
Gallstone,Avoid high-fat pre-workout meals; Walking: Encourages digestion; Breathing exercises: Reduce stress and spasm; Avoid core-focused exercises: Prevent discomfort,Requires Clinical Validation - not specified in source data
Gastritis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Gastrointestinal Hemorrhage,Rest: Avoid strenuous activity during active bleeding; Breathing exercises: Manage stress on the digestive system; Gentle walking: Only after stabilization; Avoid abdominal strain: Prevent re-bleeding,Requires Clinical Validation - not specified in source data
Gaucher Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Generalized Anxiety Disorder,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Gout,Low-impact exercises: Like cycling or swimming; Joint mobility drills: Keep joints flexible; Avoid intense weight-bearing: During flare-ups; Stretching: Reduce stiffness in affected areas,Requires Clinical Validation - not specified in source data
Gum Disease,Oral hygiene focus: Brush and floss regularly; Avoid sugary sports drinks: Prevent bacterial growth; Stay hydrated: Supports gum health; No specific physical activity restriction: Follow general wellness plan,Requires Clinical Validation - not specified in source data
Heart Attack,Cardiac rehabilitation: Doctor-supervised program; Walking: Most recommended early-stage workout; Stationary cycling: Low-impact cardio; Avoid high-intensity training: Until medically cleared,Requires Clinical Validation - not specified in source data
Heart Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Heart Failure,Supervised cardiac rehab: Custom-designed programs; Walking: Slow and monitored; Breathing techniques: Improve oxygen efficiency; Avoid dehydration or sudden exertion,Requires Clinical Validation - not specified in source data
Hemorrhoids,Walking: Reduces pressure on rectal veins; Kegel exercises: Improve blood flow; Avoid heavy lifting: Prevent flare-ups; Gentle yoga: Especially pelvic-friendly poses,Requires Clinical Validation - not specified in source data
Herniated Disk,McKenzie extension exercises: Under guidance; Walking: Supports spine; Core strengthening: Stabilizes back; Avoid bending/twisting under load,Requires Clinical Validation - not specified in source data
Hiatal Hernia,Avoid crunches: Prevent abdominal pressure; Gentle walking or cycling: Support digestion; Breathing exercises: Improve diaphragm control; Upright posture: During and after exercise,Requires Clinical Validation - not specified in source data
Hyperemesis Gravidarum,Gentle walking: If tolerated; Prenatal yoga: Helps manage nausea; Avoid fast movements: Prevent triggering symptoms; Hydration breaks essential,Requires Clinical Validation - not specified in source data
Hypertension,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Hypertensive Heart Disease,Walking: Low-impact and heart-friendly; Swimming: Great cardiovascular activity; Breathing techniques: Reduce stress-induced spikes; Avoid heavy lifting: Prevent blood pressure surges,Requires Clinical Validation - not specified in source data
Hyperthyroidism,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Hypoglycemia,Walking: Helps stabilize blood sugar; Strength training: Builds muscle mass to support glucose use; Avoid fasted workouts: Always eat before; Frequent breaks: Monitor sugar levels during activity,Requires Clinical Validation - not specified in source data
Hypothyroidism,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Ibs,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Idiopathic Excessive Menstruation,Yoga: Eases cramps and bleeding; Walking: Low-impact movement; Pelvic floor workouts: Support reproductive organs; Avoid intense cardio: Prevent symptom worsening,Requires Clinical Validation - not specified in source data
Idiopathic Irregular Menstrual Cycle,Moderate aerobic workouts: Regulate hormones; Yoga: Balance endocrine function; Strength training: Improves metabolic health; Avoid excessive exercise: Can disrupt cycles,Requires Clinical Validation - not specified in source data
Idiopathic Painful Menstruation,Yoga: Especially child’s pose and reclined twist; Walking: Helps reduce cramps; Heat therapy post-exercise: Relieves pain; Avoid high-intensity workouts during pain spikes,Requires Clinical Validation - not specified in source data
Infectious Gastroenteritis,Rest: Allow the body to recover; Gentle walking: Only after symptoms improve; Hydration focus: Replenish fluids before any activity; Avoid strenuous exercise: Prevent worsening dehydration,Requires Clinical Validation - not specified in source data
Inflammatory Bowel Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Influenza,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Injury To The Arm,Physical therapy: Guided recovery exercises; Range-of-motion drills: Regain flexibility; Isometric strengthening: Build muscles without movement; Avoid overuse: Prioritize rest and pacing,Requires Clinical Validation - not specified in source data
Injury To The Leg,Non-weight-bearing exercises: Like swimming or seated stretches; Range-of-motion: Prevent stiffness; Strength training: After healing starts; Balance exercises: Reduce fall risk later,Requires Clinical Validation - not specified in source data
Injury To The Trunk,Core stability workouts: Strengthen abdomen/back; Breathing exercises: Ease pain and tension; Walking: Gentle activity for circulation; Avoid twisting movements: Reduce risk of re-injury,Requires Clinical Validation - not specified in source data
Irritable Bowel Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Liver Disease,Walking: Promotes liver circulation; Avoid strenuous workouts: Can worsen fatigue; Strength training (light): Improve muscle mass; Avoid alcohol-based environments (gyms with bars etc.): Stay safe,Requires Clinical Validation - not specified in source data
Macular Degeneration,Balance training: Prevent falls due to vision changes; Walking: Improves circulation and eye health; Indoor cycling: Safe with limited vision; Avoid fast-paced movements: Prevent injuries,Requires Clinical Validation - not specified in source data
Marfan Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Marijuana Abuse,Cardio workouts: Boost dopamine and mood; Yoga: Improve focus and reduce cravings; Strength training: Rebuild physical health; Group activities: Enhance social motivation and discipline,Requires Clinical Validation - not specified in source data
Metabolic Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Migraine,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Multiple Sclerosis,Balance training: Prevent falls; Aqua therapy: Joint-friendly; Stretching: Reduce stiffness; Seated resistance training: Build strength safely,Requires Clinical Validation - not specified in source data
Niemann Pick Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Noninfectious Gastroenteritis,Gentle walking: Only after rehydration; Rest: During acute symptoms; Avoid abdominal strain: Prevent discomfort; Hydration focus: Replace electrolytes,Requires Clinical Validation - not specified in source data
Nose Disorder,"Breathing techniques: Nasal breathing focus; Indoor cycling: Low impact on facial pressure; Avoid inversion poses: Prevent sinus pressure; Gentle cardio: Avoid dry, dusty air",Requires Clinical Validation - not specified in source data
Obesity,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Obstructive Sleep Apnea (osa),"Weight management exercises: Walking, swimming; Breathing training: Strengthen airway muscles; Yoga: Improve breathing and sleep quality; Avoid late-night workouts: Prevent sleep disruption",Requires Clinical Validation - not specified in source data
Osteoarthritis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Osteopetrosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Otitis Externa (swimmers Ear),"Avoid swimming: Until healed; Walking: Gentle, safe movement; Indoor cycling: Avoid moisture exposure; Protect ears: Use dry earplugs during workouts",Requires Clinical Validation - not specified in source data
Otitis Media,Rest: Especially during acute phase; Avoid swimming: Prevent water exposure to ears; Light walking: If energy permits; Neck stretches: Relieve ear canal pressure,Requires Clinical Validation - not specified in source data
Pain After An Operation,Guided physiotherapy: Safe recovery progression; Deep breathing: Prevent lung complications post-surgery; Slow walking: Improves circulation; Avoid high-intensity activity: Allow full healing,Requires Clinical Validation - not specified in source data
Panic Disorder,"Deep breathing exercises: Calm your mind by focusing on slow, deep breaths; Yoga: Combines breathing and movement for relaxation; Mindfulness meditation: Helps reduce anxiety by staying present; Regular aerobic exercise: Boosts mood and reduces stress",Requires Clinical Validation - not specified in source data
Parkinsons,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Pelvic Inflammatory Disease,Pelvic floor strengthening: Aid recovery; Walking: Supports circulation; Avoid high-impact sports: Prevent discomfort; Gentle yoga: Pelvic-friendly movements,Requires Clinical Validation - not specified in source data
Peptic Ulcer Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Peripheral Nerve Disorder,Balance training: Prevent falls; Physical therapy: Guided nerve rehab; Stretching: Maintain flexibility; Swimming: Low-impact full-body option,Requires Clinical Validation - not specified in source data
Personality Disorder,Team sports: Encourage social interaction; Walking or running: Structured routine helps mood; Yoga or tai chi: Promote mindfulness; Supervised fitness coaching: Builds discipline and trust,Requires Clinical Validation - not specified in source data
Pneumonia,Rest: Critical during acute infection; Breathing exercises: Improve lung expansion; Gentle walking: After fever subsides; Gradual reintroduction to physical activity: To build endurance,Requires Clinical Validation - not specified in source data
Polycystic Ovary Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Problem During Pregnancy,Prenatal yoga: Gentle stretches safe for pregnancy; Walking: Keeps you active and healthy; Pelvic tilts: Strengthen core muscles; Kegel exercises: Support pelvic health,Requires Clinical Validation - not specified in source data
Psoriasis,Swimming in saltwater: May soothe skin; Moderate aerobic activity: Supports immune system; Stretching and yoga: Gentle on skin; Avoid hot/sweaty environments: Prevent flare-ups,Requires Clinical Validation - not specified in source data
Pyogenic Skin Infection,Avoid shared gym equipment: Prevent spread; No swimming: Until cleared; Stretching at home: Avoid sweating on infected skin; Use clean towels: Hygiene is key,Requires Clinical Validation - not specified in source data
Rectal Disorder,Walking: Supports digestion and circulation; Pelvic floor exercises: Strengthen rectal support; Avoid cycling: Prevent irritation; Gentle yoga: Focus on posture and breathing,Requires Clinical Validation - not specified in source data
Schizophrenia,Structured group workouts: Promote social interaction; Walking or jogging: Boosts brain chemicals; Tai chi: Improves focus and calm; Avoid sensory overload: Choose quiet environments,Requires Clinical Validation - not specified in source data
Seasonal Allergies (hay Fever),Indoor workouts: Avoid pollen exposure; Yoga: Manage immune and stress response; Treadmill walking: Allergy-safe cardio; Wear a mask outdoors: If walking outside,Requires Clinical Validation - not specified in source data
Sebaceous Cyst,Avoid pressure or friction on cyst; Low-sweat activities: Prevent irritation; Walking or yoga: With non-abrasive clothing; Avoid helmets/hats if cyst is on scalp,Requires Clinical Validation - not specified in source data
Sepsis,Rest and rehabilitation: After acute phase; Gentle walking: Gradual rebuilding; Physical therapy: Restore strength; Avoid overexertion: Recovery can be long-term,Requires Clinical Validation - not specified in source data
Sickle Cell Crisis,Rest: Avoid physical stress during crisis; Hydration focus: Essential during and after workouts; Low-intensity stretching: Once stable; Avoid high altitudes: Prevent oxygen drop,Requires Clinical Validation - not specified in source data
Sinus Bradycardia,Light aerobic activity: Walking or slow cycling; Warm-up and cool-down: Essential to prevent dizziness; Breathing exercises: Support heart rhythm; Avoid overexertion: Monitor heart rate,Requires Clinical Validation - not specified in source data
Sinusitis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Skin Pigmentation Disorder,Avoid sun exposure: Exercise indoors or with protection; Low-sweat activities: Prevent friction and inflammation; Yoga: Gentle and non-irritating; Hydration: Helps skin health,Requires Clinical Validation - not specified in source data
Skin Polyp,"Avoid friction-prone exercises: Prevent irritation; Wear soft, non-abrasive clothing; Gentle yoga or walking; Monitor any changes during workout routines",Requires Clinical Validation - not specified in source data
Spinal Muscular Atrophy,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Spinal Stenosis,Flexion-based exercises: Reduce spinal pressure; Stationary biking: Low back stress; Water therapy: Buoyant support; Avoid arching or extension exercises: Prevent nerve irritation,Requires Clinical Validation - not specified in source data
Spondylosis,Neck and back stretches: Improve mobility; Posture correction exercises: Reduce strain; Tai chi or yoga: Low-impact balance and movement; Avoid high-impact sports: Prevent joint stress,Requires Clinical Validation - not specified in source data
Spontaneous Abortion,Gentle stretching: Emotional and physical recovery; Walking: When emotionally and physically ready; Yoga: Calms the nervous system; Avoid strenuous exercise: Until cleared by doctor,Requires Clinical Validation - not specified in source data
Sprain Or Strain,"RICE first (rest, ice, compress, elevate); Gentle range-of-motion exercises: After pain subsides; Avoid re-injury: Use supports if needed; Rehabilitation-focused strength training",Requires Clinical Validation - not specified in source data
Strep Throat,Rest: Until infection clears; Avoid cardio: While febrile or sore throat; Walking: Gradually after symptoms ease; Hydration and vocal rest after workouts,Requires Clinical Validation - not specified in source data
Stroke,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Stye,Avoid swimming: Prevent bacteria exposure; Low-intensity workouts: No eye rubbing or strain; Clean face post-exercise: Prevent infection; Avoid hot yoga: May worsen swelling,Requires Clinical Validation - not specified in source data
Systemic Lupus Erythematosus,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Temporary Or Benign Blood In Urine,Walking: Low strain on kidneys; Hydration before and after: Support urinary health; Avoid heavy lifting: Prevent internal pressure; Gentle stretching: Support circulation,Requires Clinical Validation - not specified in source data
Threatened Pregnancy,Modified bed rest: Based on doctor's advice; Breathing exercises: Reduce anxiety; Pelvic floor (Kegel) exercises: Safe for pelvic support; Avoid high-impact workouts: Prevent complications,Requires Clinical Validation - not specified in source data
Thyroid Disorder,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Tuberculosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Type2 Diabetes,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Typhoid Fever,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Ulcer,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Ulcerative Colitis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Urinary Tract Infection,Walking: Gentle activity safe during mild infections; Avoid workouts that apply pressure to bladder; Hydration-focused workouts; Pelvic floor exercises: Strengthen urinary control,Requires Clinical Validation - not specified in source data
Vaginal Cyst,Pelvic floor exercises: Support area and reduce discomfort; Avoid high-impact sports: Prevent irritation; Walking: Safe and light activity; Breathing exercises: Promote general relaxation,Requires Clinical Validation - not specified in source data
Vaginitis,Pelvic floor exercises: Strengthen pelvic muscles to reduce discomfort; Avoid tight clothing: Prevent irritation; Use cotton underwear: Helps keep area dry and breathable; Maintain hygiene: Prevent infections,Requires Clinical Validation - not specified in source data
Vulvodynia,Pelvic floor relaxation: Avoid tightness; Gentle yoga: Reduce pelvic pain; Breathing techniques: Help with stress-linked flares; Avoid bike riding: Prevent pressure on sensitive area,Requires Clinical Validation - not specified in source data
