Disease_ID,Disease_Name,Description,Symptoms,Symptom_Count,Disease_Category,Severity,Emergency_Flag,Risk_Level,Department,Medications,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Workouts,Source_Datasets,Clinical_Validation_Status,disease_norm,Severity_Score,Risk_Score
DIS000011,Anemia,Requires Clinical Validation,,0,Blood Disorders,Mild,0,Low,Hematology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,B,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),anemia,1,1
DIS000012,Angina,"Angina is chest pain or discomfort due to reduced blood flow to the heart muscle, often triggered by exertion or stress, and relieved by rest or medication.",arm pain; chest tightness; dizziness; hot flashes; increased heart rate; irregular heartbeat; lower body pain; palpitations; sharp chest pain; shortness of breath; sweating,11,Cardiovascular,Mild,0,Low,Cardiology,Nitroglycerin (sublingual); Beta-blockers; Calcium channel blockers; Aspirin; Statins,"Heart-healthy diet (oats, olive oil, fish); Omega-3 fatty acids (salmon, flaxseed); Low-sodium foods; Fruits and vegetables; Avoid trans fats and red meat",Avoid overexertion,Take nitroglycerin as prescribed,Manage stress,Avoid cold exposure,Cardiac rehab exercises: Under supervision; Walking on flat ground: Safe cardiovascular option; Avoid cold-weather workouts: Prevent constriction; No heavy lifting: Can trigger symptoms,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),angina,1,1
DIS000013,Anxiety,"Anxiety is a mental health condition characterized by excessive worry, nervousness, or fear that interferes with daily activities, often accompanied by physical symptoms like restlessness, sweating, or rapid heartbeat.",abnormal involuntary movements; anxiety and nervousness; depression; depressive or psychotic symptoms; fears and phobias; headache; increased heart rate; insomnia; irregular heartbeat; palpitations; sharp chest pain; shortness of breath,12,Mental Health,Mild,0,Low,Psychiatry,"SSRIs (e.g., Escitalopram); SNRIs (e.g., Duloxetine); Benzodiazepines (short-term use); Buspirone; Cognitive Behavioral Therapy (CBT)","Magnesium-rich foods (nuts, seeds); Omega-3 fatty acids (salmon, chia seeds); Vitamin B-complex foods (whole grains, eggs); Probiotics (kimchi, yogurt); Limit caffeine and sugar",Practice relaxation techniques,Avoid stimulants like caffeine,Maintain regular sleep,Seek counseling if needed,Yoga: Combines movement and mindfulness; Breathing exercises: Control physiological symptoms; Walking in nature: Calms the mind; Tai chi: Improve mental and emotional balance,"B,C",Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),anxiety,1,1
DIS000014,Appendicitis,"Appendicitis is inflammation of the appendix, usually requiring surgery, and causes sudden lower right abdominal pain, nausea, and fever.",burning abdominal pain; decreased appetite; diarrhea; fever; lower abdominal pain; nausea; sharp abdominal pain; side pain; stomach bloating; upper abdominal pain; vomiting,11,Digestive,Severe,1,High,Gastroenterology,"Surgical removal (Appendectomy); Pre-operative antibiotics (e.g., Ceftriaxone + Metronidazole); Pain management; IV fluids; NPO status before surgery","Post-surgery: soft foods (broths, rice, applesauce); Hydration; Avoid high-fat and spicy foods; Gradually introduce fiber (vegetables, fruits); Probiotics",Avoid taking laxatives,Seek emergency care,Don’t eat or drink before surgery,Follow post-op instructions,Complete rest post-surgery; Physical therapy: If surgery involved; Walking: Introduced gradually; Avoid abdominal workouts until cleared,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),appendicitis,3,3
DIS000015,Arthritis,Requires Clinical Validation,,0,Musculoskeletal,Moderate,0,Medium,Orthopedics,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,"B,D",Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),arthritis,2,2
DIS000016,Arthritis Of The Hip,"Arthritis of the hip involves inflammation and degeneration of the hip joint cartilage, leading to pain, stiffness, and reduced mobility, commonly due to osteoarthritis.",ache all over; back pain; groin pain; hip pain; hip stiffness or tightness; joint pain; knee pain; leg pain; low back pain; lower body pain; pelvic pain; problems with movement,12,Musculoskeletal,Moderate,0,Medium,Orthopedics,NSAIDs; Corticosteroid injections; Physical therapy; Glucosamine supplements; Hip replacement surgery (in advanced cases),"Anti-inflammatory foods (olive oil, turmeric, berries); Omega-3 fatty acids (fish, flaxseeds); Calcium-rich foods (dairy, leafy greens); Vitamin D-rich foods (fortified milk, egg yolk); Maintain healthy weight diet",Do low-impact exercises,Use walking aids if needed,Maintain healthy weight,Take anti-inflammatory medication,Water aerobics: Low joint impact; Stretching: Maintain hip mobility; Walking with support: Use cane if needed; Strength training: Build support muscles around joint,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),arthritis of the hip,2,2
DIS000017,Asthma,"Asthma is a chronic inflammatory disease of the airways causing recurrent wheezing, breathlessness, chest tightness, and coughing, often triggered by allergens, exercise, or cold air.",allergic reaction; chest tightness; coryza; cough; coughing up sputum; difficulty breathing; fever; nasal congestion; sharp chest pain; shortness of breath; wheezing,11,Respiratory,Moderate,0,Medium,Pulmonology,"Inhaled corticosteroids (e.g., Fluticasone); Beta-agonists (e.g., Albuterol); Leukotriene modifiers (e.g., Montelukast); Anticholinergics (e.g., Ipratropium); Omalizumab","Anti-inflammatory foods (blueberries, kale, turmeric); Magnesium-rich foods (pumpkin seeds, spinach); Omega-3s (wild salmon, chia seeds); Avoid dairy if sensitive; Vitamin D-rich foods (egg yolks, fortified milk)",Avoid known triggers,Use inhaler as prescribed,Monitor peak flow,Keep emergency inhaler handy,Breathing exercises: Improve lung function; Yoga: Combines breathing and movement; Swimming: Low-impact cardio good for lungs; Avoid strenuous workouts during flare-ups: Prevent attacks,"A,B,C,D",Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),asthma,2,2
DIS000018,Benign Prostatic Hyperplasia (bph),"BPH is a non-cancerous enlargement of the prostate gland in older men, causing difficulty urinating, weak stream, or frequent urination, especially at night.",blood in urine; excessive urination at night; frequent urination; hesitancy; impotence; involuntary urination; low urine output; pain in testicles; retention of urine; swelling of scrotum; symptoms of bladder; symptoms of prostate,12,Reproductive Health,Mild,0,Low,Obstetrics & Gynecology,"Alpha blockers (e.g., Tamsulosin); 5-alpha reductase inhibitors (e.g., Finasteride); Tadalafil (for symptoms); Surgical options (e.g., TURP); Lifestyle changes","Hydration; Limit caffeine and alcohol; Zinc-rich foods (pumpkin seeds, beef); Tomatoes (lycopene); High-fiber foods (whole grains, fruits, vegetables)",Limit evening fluid intake,Avoid alcohol and caffeine,Empty bladder completely,Follow up with urologist,Pelvic floor exercises: Improve urinary control; Walking: Promotes bladder health; Avoid cycling: Can worsen symptoms; Stretching: Relieve pelvic tension,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),benign prostatic hyperplasia (bph),1,1
DIS000019,Brachial Neuritis,"Brachial neuritis is inflammation of the brachial plexus nerves, causing sudden shoulder and arm pain followed by weakness or numbness.",arm pain; back pain; elbow pain; hand or finger pain; hand or finger weakness; headache; loss of sensation; low back pain; neck pain; paresthesia; shoulder pain,11,General / Unclassified,Mild,0,Low,General Medicine,NSAIDs; Oral corticosteroids; Gabapentin or Pregabalin; Physical therapy; Pain management,"Protein-rich foods (chicken, beans); Anti-inflammatory foods (turmeric, ginger); Omega-3 fatty acids (salmon, walnuts); Vitamin B complex (whole grains, eggs); Hydration",Avoid heavy lifting,Physical therapy,Manage pain with meds,Get adequate rest,Range-of-motion exercises: Restore shoulder movement; Light resistance training: Under physiotherapy; Avoid overhead lifting; Pain management with guided stretching,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),brachial neuritis,1,1
DIS000020,Bronchitis,Requires Clinical Validation,,0,Respiratory,Moderate,0,Medium,Pulmonology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,B,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),bronchitis,2,2
DIS000021,Bursitis,"Bursitis is inflammation of the bursae—small fluid-filled sacs that cushion bones and joints—causing joint pain, swelling, and limited movement, often from repetitive motion or pressure.",arm pain; arm stiffness or tightness; arm swelling; elbow pain; elbow swelling; hip pain; knee pain; knee swelling; leg pain; leg swelling; shoulder pain; shoulder stiffness or tightness,12,Musculoskeletal,Mild,0,Low,Orthopedics,"NSAIDs (e.g., Ibuprofen); Corticosteroid injections; Ice packs; Physical therapy; Antibiotics (if septic bursitis)","Anti-inflammatory foods (turmeric, ginger, berries); Omega-3 fatty acids (salmon, chia seeds); Vitamin C (bell peppers, citrus fruits); Hydration; Avoid processed and fried foods",Rest the affected joint,Apply ice packs,Use joint support,Avoid repetitive strain,Gentle range-of-motion exercises: Prevent joint stiffness; Low-impact cardio: Like swimming or cycling; Stretching: Keep affected areas flexible; Avoid pressure on joints: Use proper form and padding,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),bursitis,1,1
DIS000022,Cancer,Requires Clinical Validation,,0,Oncological,Severe,0,High,Oncology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,D,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),cancer,3,3
DIS000023,Carpal Tunnel Syndrome,"Carpal tunnel syndrome is a condition caused by compression of the median nerve in the wrist, leading to numbness, tingling, and weakness in the hand and fingers.",arm pain; arm weakness; elbow pain; hand or finger pain; hand or finger stiffness or tightness; hand or finger swelling; loss of sensation; neck pain; paresthesia; wrist pain; wrist swelling,11,Musculoskeletal,Mild,0,Low,Orthopedics,Wrist splint; NSAIDs; Corticosteroid injections; Gabapentin (if nerve pain); Surgical decompression (if severe),"Anti-inflammatory foods (turmeric, ginger); Omega-3 fatty acids (chia seeds, salmon); Magnesium-rich foods (spinach, almonds); Vitamin B6-rich foods (bananas, poultry); Avoid excess caffeine and sugar",Take frequent hand breaks,Use wrist splints,Avoid repetitive motions,Do stretching exercises,Wrist stretching: Relieve nerve pressure; Hand-strengthening exercises: Use putty or bands; Avoid repetitive strain: Modify activities; Yoga: Helps with posture and nerve health,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),carpal tunnel syndrome,1,1
DIS000024,Cholecystitis,"Cholecystitis is inflammation of the gallbladder, often due to gallstones, causing severe upper abdominal pain, fever, nausea, and tenderness.",back pain; burning abdominal pain; lower body pain; nausea; regurgitation; sharp abdominal pain; sharp chest pain; side pain; stomach bloating; symptoms of the kidneys; upper abdominal pain; vomiting,12,Renal & Urinary,Mild,0,Low,Nephrology / Urology,"IV antibiotics (e.g., Ceftriaxone + Metronidazole); Pain relievers (e.g., Morphine); IV fluids; NPO (nothing by mouth); Cholecystectomy (surgical removal of gallbladder)","Low-fat diet (lean proteins, vegetables); Avoid fried and fatty foods; High-fiber foods (whole grains, fruits); Hydration; Small frequent meals",Avoid fatty foods,Stay hydrated,Follow up for imaging/tests,Take antibiotics as prescribed,Gentle movement: After inflammation resolves; Avoid high-fat pre-workout meals; Walking: Improves digestion; Avoid core strain: Prevent gallbladder pressure,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),cholecystitis,1,1
DIS000025,Chronic Back Pain,"Chronic back pain is persistent or recurring pain in the back lasting more than three months, often due to structural issues, nerve damage, or degenerative conditions.",back cramps or spasms; back pain; back stiffness or tightness; groin pain; hip pain; leg pain; loss of sensation; low back pain; lower body pain; neck pain; side pain,11,Musculoskeletal,Mild,0,Low,Orthopedics,"NSAIDs; Muscle relaxants; Physical therapy; Epidural steroid injections; Chronic pain management (e.g., TENS, acupuncture)","Anti-inflammatory foods (berries, turmeric); Calcium and Vitamin D (milk, cheese, eggs); Magnesium-rich foods (nuts, leafy greens); Omega-3s (salmon)",Maintain proper posture,Regular stretching,Use ergonomic furniture,Avoid lifting heavy objects,"Core stabilization: Essential for support; Water aerobics: Minimal spinal impact; Stretching: Hamstrings, hips, and back; Avoid high-impact sports",C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),chronic back pain,1,1
DIS000026,Chronic Constipation,"Chronic constipation is a long-term condition characterized by infrequent or difficult bowel movements, often accompanied by abdominal discomfort or bloating.",blood in stool; burning abdominal pain; changes in stool appearance; constipation; lower abdominal pain; nausea; pain of the anus; rectal bleeding; retention of urine; sharp abdominal pain; vomiting,11,Digestive,Mild,0,Low,Gastroenterology,"Laxatives (e.g., Polyethylene glycol); Stool softeners (e.g., Docusate); Fiber supplements (e.g., Psyllium); Osmotic agents (e.g., Lactulose); Prokinetics","High-fiber foods (whole grains, fruits, vegetables); Hydration; Probiotics (yogurt, kimchi); Limit processed and fatty foods; Regular meals and physical activity",Increase fiber intake,Exercise regularly,Stay hydrated,Avoid delaying bowel movements,Walking: Stimulates bowel movement; Yoga: Helps with digestion; Core-focused stretching: Gently activates abdomen; Hydration pre- and post-workout: Key support,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),chronic constipation,1,1
DIS000027,Chronic Kidney Disease,Requires Clinical Validation,exercise dyspnea; hemoptysis; shortness of breath; wheezing,4,Renal & Urinary,Moderate,0,Medium,Nephrology / Urology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,"A,B",Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),chronic kidney disease,2,2
DIS000028,Chronic Liver Disease,Requires Clinical Validation,anhedonia; anxiety; arthralgia; chest tightness; clammy skin; claudication; compulsions; cough; cyanosis; dry cough; exercise dyspnea; exercise intolerance; facial droop; fatigue on exertion; hemoptysis; hypersomnia; hypopigmentation; insomnia; limp; loss of smell; loss of taste; low mood; nasal congestion; obsessions; orthopnea; panic attacks; paroxysmal nocturnal dyspnea; peripheral edema; photophobia; photosensitivity; pleuritic chest pain; productive cough; resting tachycardia; runny nose; shortness of breath; sinus pain; sore throat; speech difficulty; spine rigidity; suicidal ideation; tendon tenderness; tremor; urticaria; wheezing,44,Hepatobiliary,Mild,0,Low,Gastroenterology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),chronic liver disease,1,1
DIS000029,Chronic Obstructive Pulmonary Disease (copd),"COPD is a group of progressive lung diseases, including emphysema and chronic bronchitis, characterized by airflow limitation, coughing, wheezing, and shortness of breath.",chest tightness; congestion in chest; coryza; cough; coughing up sputum; fever; nasal congestion; sharp chest pain; shortness of breath; sore throat; wheezing,11,Respiratory,Severe,0,High,Pulmonology,"Bronchodilators (e.g., Salbutamol); Inhaled corticosteroids; Phosphodiesterase-4 inhibitors (e.g., Roflumilast); Oxygen therapy; Antibiotics during exacerbations","Anti-inflammatory foods (turmeric, ginger, berries); Omega-3 fatty acids (wild salmon, walnuts); High-protein foods (chicken, beans); Vitamin C-rich foods (oranges, broccoli); Hydration",Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Pursed-lip breathing: Improve oxygen use; Walking: Build endurance safely; Stationary biking: Low strain on lungs; Pulmonary rehabilitation exercises: Doctor-guided regimens,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),chronic obstructive pulmonary disease (copd),3,3
DIS000030,Cirrhosis,Requires Clinical Validation,alopecia patchy; anhedonia; arthralgia; chest tightness; chills; clammy skin; cold intolerance; cough; digital ulcers; dry cough; ecchymosis; exercise dyspnea; fatigue; fever; hair loss; hemoptysis; hot flashes; hyperpigmentation; hypopigmentation; joint pain; limp; loss of smell; loss of taste; low mood; morning stiffness; muscle cramps; muscle weakness msk; myalgia; nasal congestion; night sweats; orthopnea; panic attacks; photosensitive rash derm; photosensitivity; pleuritic chest pain; polydipsia; productive cough; pruritus; rash maculopapular; resting tachycardia; runny nose; shortness of breath; sinus pain; social withdrawal; sore throat; suicidal ideation; telangiectasia; unintentional weight loss; urticaria; wheezing,50,Hepatobiliary,Severe,0,High,Gastroenterology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),cirrhosis,3,3
