Hospital_ID,Hospital_Name,Location,Contact,Email
HOSP000087,Tufts Medical Center Seattle,"7679 Main St, Seattle, WA",+1-555-355-2235,contact@tuftsmedicalcenterseattle.org
HOSP000088,Baylor University Medical Clinic Miami,"7360 Main St, Miami, FL",+1-555-927-2604,contact@bayloruniversitymedicalclinicmiami.org
HOSP000089,St. Luke's Health Center Denver,"928 Main St, Denver, CO",+1-555-767-9856,contact@stlukeshealthcenterdenver.org
HOSP000090,Northside General Hospital Atlanta,"341 Main St, Atlanta, GA",+1-555-195-4872,contact@northsidegeneralhospitalatlanta.org
HOSP000091,Saint Joseph Medical Center Phoenix #90,"2824 Main St, Phoenix, AZ",+1-555-516-8956,contact@saintjosephmedicalcenterphoenix#90.org
HOSP000092,Chicago General Hospital Dallas #91,"7986 Main St, Dallas, TX",+1-555-318-7570,contact@chicagogeneralhospitaldallas#91.org
HOSP000093,Mercy Health Clinic Philadelphia #92,"1060 Main St, Philadelphia, PA",+1-555-268-7209,contact@mercyhealthclinicphiladelphia#92.org
HOSP000094,Swedish Covenant Hospital Detroit #93,"135 Main St, Detroit, MI",+1-555-499-5345,contact@swedishcovenanthospitaldetroit#93.org
HOSP000095,St. Jude Research Hospital Minneapolis #94,"7554 Main St, Minneapolis, MN",+1-555-392-7930,contact@stjuderesearchhospitalminneapolis#94.org
HOSP000096,Johns Hopkins Regional Care Portland #95,"9205 Main St, Portland, OR",+1-555-777-8973,contact@johnshopkinsregionalcareportland#95.org
HOSP000097,Northwestern Medicine Center San Diego #96,"2636 Main St, San Diego, CA",+1-555-294-5861,contact@northwesternmedicinecentersandiego#96.org
HOSP000098,Mayo Clinic Care Center Austin #97,"3666 Main St, Austin, TX",+1-555-159-9883,contact@mayocliniccarecenteraustin#97.org
HOSP000099,Kaiser Permanente Hospital Baltimore #98,"1098 Main St, Baltimore, MD",+1-555-865-6138,contact@kaiserpermanentehospitalbaltimore#98.org
HOSP000100,Memorial Sloan Kettering Center Charlotte #99,"1036 Main St, Charlotte, NC",+1-555-151-8811,contact@memorialsloanketteringcentercharlotte#99.org
HOSP000101,Cleveland Clinic Regional Chicago #100,"8338 Main St, Chicago, IL",+1-555-973-9701,contact@clevelandclinicregionalchicago#100.org
HOSP000102,Massachusetts General Hospital Boston #101,"2679 Main St, Boston, MA",+1-555-158-9320,contact@massachusettsgeneralhospitalboston#101.org
HOSP000103,UCSF Health Medical Center Houston #102,"1412 Main St, Houston, TX",+1-555-971-4044,contact@ucsfhealthmedicalcenterhouston#102.org
HOSP000104,Barnes-Jewish Hospital Center San Francisco #103,"1222 Main St, San Francisco, CA",+1-555-709-2113,contact@barnes-jewishhospitalcentersanfrancisco#103.org
HOSP000105,Mount Sinai Medical Hospital New York #104,"3953 Main St, New York, NY",+1-555-513-2964,contact@mountsinaimedicalhospitalnewyork#104.org
HOSP000106,Brigham and Women's Clinic Los Angeles #105,"9433 Main St, Los Angeles, CA",+1-555-352-1651,contact@brighamandwomenscliniclosangeles#105.org
HOSP000107,Stanford Health Care Center Seattle #106,"1443 Main St, Seattle, WA",+1-555-529-9565,contact@stanfordhealthcarecenterseattle#106.org
HOSP000108,UPMC Presbyterian Hospital Miami #107,"5283 Main St, Miami, FL",+1-555-367-4346,contact@upmcpresbyterianhospitalmiami#107.org
HOSP000109,NYU Langone Medical Clinic Denver #108,"5247 Main St, Denver, CO",+1-555-344-5351,contact@nyulangonemedicalclinicdenver#108.org
HOSP000110,Vanderbilt Health Center Atlanta #109,"6584 Main St, Atlanta, GA",+1-555-234-5915,contact@vanderbilthealthcenteratlanta#109.org
HOSP000111,Cedars-Sinai Medical Center Phoenix #110,"7591 Main St, Phoenix, AZ",+1-555-423-2188,contact@cedars-sinaimedicalcenterphoenix#110.org
HOSP000112,Duke University Health System Dallas #111,"252 Main St, Dallas, TX",+1-555-569-2638,contact@dukeuniversityhealthsystemdallas#111.org
HOSP000113,Methodist Hospital Center Philadelphia #112,"1300 Main St, Philadelphia, PA",+1-555-650-4492,contact@methodisthospitalcenterphiladelphia#112.org
HOSP000114,Yale New Haven Health Clinic Detroit #113,"8388 Main St, Detroit, MI",+1-555-371-3170,contact@yalenewhavenhealthclinicdetroit#113.org
HOSP000115,Jefferson Health Center Minneapolis #114,"5818 Main St, Minneapolis, MN",+1-555-170-5002,contact@jeffersonhealthcenterminneapolis#114.org
HOSP000116,Advocate Lutheran General Portland #115,"6154 Main St, Portland, OR",+1-555-391-3584,contact@advocatelutherangeneralportland#115.org
HOSP000117,Tufts Medical Center San Diego #116,"7279 Main St, San Diego, CA",+1-555-953-9900,contact@tuftsmedicalcentersandiego#116.org
HOSP000118,Baylor University Medical Clinic Austin #117,"5056 Main St, Austin, TX",+1-555-726-9666,contact@bayloruniversitymedicalclinicaustin#117.org
HOSP000119,St. Luke's Health Center Baltimore #118,"228 Main St, Baltimore, MD",+1-555-783-5905,contact@stlukeshealthcenterbaltimore#118.org
HOSP000120,Northside General Hospital Charlotte #119,"1797 Main St, Charlotte, NC",+1-555-999-3200,contact@northsidegeneralhospitalcharlotte#119.org
HOSP000121,Saint Joseph Medical Center Chicago #120,"4433 Main St, Chicago, IL",+1-555-218-2753,contact@saintjosephmedicalcenterchicago#120.org
HOSP000122,Chicago General Hospital Boston #121,"9164 Main St, Boston, MA",+1-555-259-5462,contact@chicagogeneralhospitalboston#121.org
HOSP000123,Mercy Health Clinic Houston #122,"4716 Main St, Houston, TX",+1-555-719-4450,contact@mercyhealthclinichouston#122.org
HOSP000124,Swedish Covenant Hospital San Francisco #123,"5717 Main St, San Francisco, CA",+1-555-308-5325,contact@swedishcovenanthospitalsanfrancisco#123.org
HOSP000125,St. Jude Research Hospital New York #124,"8380 Main St, New York, NY",+1-555-600-5114,contact@stjuderesearchhospitalnewyork#124.org
HOSP000126,Johns Hopkins Regional Care Los Angeles #125,"932 Main St, Los Angeles, CA",+1-555-194-7939,contact@johnshopkinsregionalcarelosangeles#125.org
HOSP000127,Northwestern Medicine Center Seattle #126,"4633 Main St, Seattle, WA",+1-555-145-1058,contact@northwesternmedicinecenterseattle#126.org
HOSP000128,Mayo Clinic Care Center Miami #127,"5564 Main St, Miami, FL",+1-555-889-3143,contact@mayocliniccarecentermiami#127.org
HOSP000129,Kaiser Permanente Hospital Denver #128,"4391 Main St, Denver, CO",+1-555-265-8239,contact@kaiserpermanentehospitaldenver#128.org
HOSP000130,Memorial Sloan Kettering Center Atlanta #129,"9138 Main St, Atlanta, GA",+1-555-822-8007,contact@memorialsloanketteringcenteratlanta#129.org
HOSP000131,Cleveland Clinic Regional Phoenix #130,"9289 Main St, Phoenix, AZ",+1-555-109-2832,contact@clevelandclinicregionalphoenix#130.org
HOSP000132,Massachusetts General Hospital Dallas #131,"1332 Main St, Dallas, TX",+1-555-807-3442,contact@massachusettsgeneralhospitaldallas#131.org
HOSP000133,UCSF Health Medical Center Philadelphia #132,"9038 Main St, Philadelphia, PA",+1-555-136-7049,contact@ucsfhealthmedicalcenterphiladelphia#132.org
HOSP000134,Barnes-Jewish Hospital Center Detroit #133,"9643 Main St, Detroit, MI",+1-555-665-3426,contact@barnes-jewishhospitalcenterdetroit#133.org
HOSP000135,Mount Sinai Medical Hospital Minneapolis #134,"7141 Main St, Minneapolis, MN",+1-555-230-1685,contact@mountsinaimedicalhospitalminneapolis#134.org
HOSP000136,Brigham and Women's Clinic Portland #135,"5150 Main St, Portland, OR",+1-555-473-1653,contact@brighamandwomensclinicportland#135.org
HOSP000137,Stanford Health Care Center San Diego #136,"5962 Main St, San Diego, CA",+1-555-315-5088,contact@stanfordhealthcarecentersandiego#136.org
HOSP000138,UPMC Presbyterian Hospital Austin #137,"1784 Main St, Austin, TX",+1-555-462-7658,contact@upmcpresbyterianhospitalaustin#137.org
HOSP000139,NYU Langone Medical Clinic Baltimore #138,"2632 Main St, Baltimore, MD",+1-555-342-3662,contact@nyulangonemedicalclinicbaltimore#138.org
HOSP000140,Vanderbilt Health Center Charlotte #139,"3000 Main St, Charlotte, NC",+1-555-522-1406,contact@vanderbilthealthcentercharlotte#139.org
HOSP000141,Cedars-Sinai Medical Center Chicago #140,"3038 Main St, Chicago, IL",+1-555-854-6442,contact@cedars-sinaimedicalcenterchicago#140.org
HOSP000142,Duke University Health System Boston #141,"6845 Main St, Boston, MA",+1-555-921-5065,contact@dukeuniversityhealthsystemboston#141.org
HOSP000143,Methodist Hospital Center Houston #142,"4471 Main St, Houston, TX",+1-555-263-2771,contact@methodisthospitalcenterhouston#142.org
HOSP000144,Yale New Haven Health Clinic San Francisco #143,"6367 Main St, San Francisco, CA",+1-555-993-1634,contact@yalenewhavenhealthclinicsanfrancisco#143.org
HOSP000145,Jefferson Health Center New York #144,"7811 Main St, New York, NY",+1-555-327-4269,contact@jeffersonhealthcenternewyork#144.org
HOSP000146,Advocate Lutheran General Los Angeles #145,"7641 Main St, Los Angeles, CA",+1-555-458-6000,contact@advocatelutherangenerallosangeles#145.org
HOSP000147,Tufts Medical Center Seattle #146,"3828 Main St, Seattle, WA",+1-555-328-1387,contact@tuftsmedicalcenterseattle#146.org
HOSP000148,Baylor University Medical Clinic Miami #147,"3264 Main St, Miami, FL",+1-555-508-6378,contact@bayloruniversitymedicalclinicmiami#147.org
HOSP000149,St. Luke's Health Center Denver #148,"4664 Main St, Denver, CO",+1-555-985-2137,contact@stlukeshealthcenterdenver#148.org
HOSP000150,Northside General Hospital Atlanta #149,"4673 Main St, Atlanta, GA",+1-555-459-9346,contact@northsidegeneralhospitalatlanta#149.org
HOSP000151,Saint Joseph Medical Center Phoenix #150,"6648 Main St, Phoenix, AZ",+1-555-795-9785,contact@saintjosephmedicalcenterphoenix#150.org
HOSP000152,Chicago General Hospital Dallas #151,"5525 Main St, Dallas, TX",+1-555-128-2889,contact@chicagogeneralhospitaldallas#151.org
HOSP000153,Mercy Health Clinic Philadelphia #152,"4379 Main St, Philadelphia, PA",+1-555-282-5349,contact@mercyhealthclinicphiladelphia#152.org
HOSP000154,Swedish Covenant Hospital Detroit #153,"726 Main St, Detroit, MI",+1-555-211-8119,contact@swedishcovenanthospitaldetroit#153.org
HOSP000155,St. Jude Research Hospital Minneapolis #154,"5763 Main St, Minneapolis, MN",+1-555-846-6139,contact@stjuderesearchhospitalminneapolis#154.org
HOSP000156,Johns Hopkins Regional Care Portland #155,"7249 Main St, Portland, OR",+1-555-720-9379,contact@johnshopkinsregionalcareportland#155.org
HOSP000157,Northwestern Medicine Center San Diego #156,"1994 Main St, San Diego, CA",+1-555-494-4114,contact@northwesternmedicinecentersandiego#156.org
HOSP000158,Mayo Clinic Care Center Austin #157,"4273 Main St, Austin, TX",+1-555-145-8144,contact@mayocliniccarecenteraustin#157.org
HOSP000159,Kaiser Permanente Hospital Baltimore #158,"127 Main St, Baltimore, MD",+1-555-632-9821,contact@kaiserpermanentehospitalbaltimore#158.org
HOSP000160,Memorial Sloan Kettering Center Charlotte #159,"3328 Main St, Charlotte, NC",+1-555-472-8066,contact@memorialsloanketteringcentercharlotte#159.org
HOSP000161,Cleveland Clinic Regional Chicago #160,"1246 Main St, Chicago, IL",+1-555-780-6409,contact@clevelandclinicregionalchicago#160.org
HOSP000162,Massachusetts General Hospital Boston #161,"5243 Main St, Boston, MA",+1-555-779-3041,contact@massachusettsgeneralhospitalboston#161.org
HOSP000163,UCSF Health Medical Center Houston #162,"5020 Main St, Houston, TX",+1-555-619-6067,contact@ucsfhealthmedicalcenterhouston#162.org
HOSP000164,Barnes-Jewish Hospital Center San Francisco #163,"6791 Main St, San Francisco, CA",+1-555-434-7592,contact@barnes-jewishhospitalcentersanfrancisco#163.org
HOSP000165,Mount Sinai Medical Hospital New York #164,"4944 Main St, New York, NY",+1-555-667-3085,contact@mountsinaimedicalhospitalnewyork#164.org
HOSP000166,Brigham and Women's Clinic Los Angeles #165,"3243 Main St, Los Angeles, CA",+1-555-530-7211,contact@brighamandwomenscliniclosangeles#165.org
HOSP000167,Stanford Health Care Center Seattle #166,"2951 Main St, Seattle, WA",+1-555-730-5930,contact@stanfordhealthcarecenterseattle#166.org
HOSP000168,UPMC Presbyterian Hospital Miami #167,"6753 Main St, Miami, FL",+1-555-661-1006,contact@upmcpresbyterianhospitalmiami#167.org
HOSP000169,NYU Langone Medical Clinic Denver #168,"5078 Main St, Denver, CO",+1-555-393-4443,contact@nyulangonemedicalclinicdenver#168.org
HOSP000170,Vanderbilt Health Center Atlanta #169,"7143 Main St, Atlanta, GA",+1-555-904-6279,contact@vanderbilthealthcenteratlanta#169.org
HOSP000171,Cedars-Sinai Medical Center Phoenix #170,"7718 Main St, Phoenix, AZ",+1-555-552-8244,contact@cedars-sinaimedicalcenterphoenix#170.org
HOSP000172,Duke University Health System Dallas #171,"3601 Main St, Dallas, TX",+1-555-623-8752,contact@dukeuniversityhealthsystemdallas#171.org
HOSP000173,Methodist Hospital Center Philadelphia #172,"2880 Main St, Philadelphia, PA",+1-555-774-2389,contact@methodisthospitalcenterphiladelphia#172.org
HOSP000174,Yale New Haven Health Clinic Detroit #173,"4749 Main St, Detroit, MI",+1-555-627-6491,contact@yalenewhavenhealthclinicdetroit#173.org
HOSP000175,Jefferson Health Center Minneapolis #174,"1630 Main St, Minneapolis, MN",+1-555-938-4848,contact@jeffersonhealthcenterminneapolis#174.org
HOSP000176,Advocate Lutheran General Portland #175,"5185 Main St, Portland, OR",+1-555-330-4262,contact@advocatelutherangeneralportland#175.org
HOSP000177,Tufts Medical Center San Diego #176,"2514 Main St, San Diego, CA",+1-555-125-1757,contact@tuftsmedicalcentersandiego#176.org
HOSP000178,Baylor University Medical Clinic Austin #177,"4111 Main St, Austin, TX",+1-555-586-2193,contact@bayloruniversitymedicalclinicaustin#177.org
HOSP000179,St. Luke's Health Center Baltimore #178,"7561 Main St, Baltimore, MD",+1-555-524-4185,contact@stlukeshealthcenterbaltimore#178.org
HOSP000180,Northside General Hospital Charlotte #179,"6391 Main St, Charlotte, NC",+1-555-606-7547,contact@northsidegeneralhospitalcharlotte#179.org
HOSP000181,Saint Joseph Medical Center Chicago #180,"4097 Main St, Chicago, IL",+1-555-251-1090,contact@saintjosephmedicalcenterchicago#180.org
HOSP000182,Chicago General Hospital Boston #181,"1846 Main St, Boston, MA",+1-555-897-7965,contact@chicagogeneralhospitalboston#181.org
HOSP000183,Mercy Health Clinic Houston #182,"3685 Main St, Houston, TX",+1-555-280-9486,contact@mercyhealthclinichouston#182.org
HOSP000184,Swedish Covenant Hospital San Francisco #183,"7711 Main St, San Francisco, CA",+1-555-151-5082,contact@swedishcovenanthospitalsanfrancisco#183.org
HOSP000185,St. Jude Research Hospital New York #184,"2088 Main St, New York, NY",+1-555-567-3184,contact@stjuderesearchhospitalnewyork#184.org
HOSP000186,Johns Hopkins Regional Care Los Angeles #185,"7712 Main St, Los Angeles, CA",+1-555-783-9702,contact@johnshopkinsregionalcarelosangeles#185.org
HOSP000187,Northwestern Medicine Center Seattle #186,"9257 Main St, Seattle, WA",+1-555-709-6198,contact@northwesternmedicinecenterseattle#186.org
HOSP000188,Mayo Clinic Care Center Miami #187,"7351 Main St, Miami, FL",+1-555-727-9270,contact@mayocliniccarecentermiami#187.org
HOSP000189,Kaiser Permanente Hospital Denver #188,"7091 Main St, Denver, CO",+1-555-950-9976,contact@kaiserpermanentehospitaldenver#188.org
HOSP000190,Memorial Sloan Kettering Center Atlanta #189,"7405 Main St, Atlanta, GA",+1-555-262-8777,contact@memorialsloanketteringcenteratlanta#189.org
HOSP000191,Cleveland Clinic Regional Phoenix #190,"7473 Main St, Phoenix, AZ",+1-555-365-5050,contact@clevelandclinicregionalphoenix#190.org
HOSP000192,Massachusetts General Hospital Dallas #191,"4643 Main St, Dallas, TX",+1-555-884-9540,contact@massachusettsgeneralhospitaldallas#191.org
HOSP000193,UCSF Health Medical Center Philadelphia #192,"8039 Main St, Philadelphia, PA",+1-555-741-4919,contact@ucsfhealthmedicalcenterphiladelphia#192.org
