Disease,Recommended_Diet,Foods_To_Avoid
Heart Attack,"Low-sodium diet (vegetables, fresh fruits); Omega-3 fatty acids (salmon, flaxseeds); Whole grains (brown rice, oats); Lean proteins (chicken, beans); Limit saturated and trans fats (processed foods, fried foods)",Requires Clinical Validation - not specified in source data
Heart Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Heart Failure,"Low-sodium diet; Fluid monitoring; Potassium-rich foods (bananas, sweet potatoes); Omega-3 fatty acids (fish); Avoid red meat and saturated fats",Requires Clinical Validation - not specified in source data
Hemorrhoids,"High-fiber foods (whole grains, fruits, vegetables); Hydration; Avoid straining and constipation; Limit caffeine and alcohol; Probiotics (yogurt, kimchi)",Requires Clinical Validation - not specified in source data
Herniated Disk,"Anti-inflammatory diet (ginger, leafy greens); Omega-3 fatty acids (fish, flaxseed); Vitamin D and calcium (fortified foods, milk); Hydration",Requires Clinical Validation - not specified in source data
Hiatal Hernia,"Small, frequent meals; Avoid spicy foods and caffeine; High-fiber foods (oats, vegetables); Lean proteins (chicken, fish); Avoid fatty and fried foods",Requires Clinical Validation - not specified in source data
Hyperemesis Gravidarum,"Small frequent meals; Bland foods (crackers, rice); Ginger tea; Vitamin B6-rich foods (bananas, chickpeas); Hydration with electrolytes (ORS, coconut water)",Requires Clinical Validation - not specified in source data
Hypertension,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Hypertensive Heart Disease,"Low-sodium diet (avoid processed foods); Potassium-rich foods (bananas, sweet potatoes); Omega-3 fatty acids (salmon, walnuts); Whole grains (brown rice, oats); Limit saturated fats (butter, fatty meats)",Requires Clinical Validation - not specified in source data
Hyperthyroidism,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Hypoglycemia,"Complex carbohydrates (whole grains, legumes); Protein with every meal (eggs, nuts); Avoid sugary snacks; Frequent small meals; Fiber-rich foods (vegetables, fruits)",Requires Clinical Validation - not specified in source data
Hypothyroidism,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Ibs,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Idiopathic Excessive Menstruation,"Iron-rich foods (spinach, red meat); Vitamin C-rich foods (oranges, bell peppers); Hydration; Avoid caffeine and alcohol; High-fiber foods (whole grains, fruits)",Requires Clinical Validation - not specified in source data
Idiopathic Irregular Menstrual Cycle,"Balanced diet with protein (chicken, beans); Iron-rich foods (spinach, lentils); Vitamin B6-rich foods (bananas, poultry); Hydration; Avoid caffeine and high sugar foods",Requires Clinical Validation - not specified in source data
Idiopathic Painful Menstruation,"Magnesium-rich foods (spinach, dark chocolate); Omega-3 fatty acids (salmon, walnuts); Hydration; Avoid salty and processed foods; Ginger and turmeric tea",Requires Clinical Validation - not specified in source data
Infectious Gastroenteritis,"Oral rehydration solution (ORS); BRAT diet (bananas, rice, applesauce, toast); Clear soups (chicken soup); Avoid dairy and greasy foods; Probiotics (yogurt, kefir)",Requires Clinical Validation - not specified in source data
Inflammatory Bowel Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Influenza,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Injury To The Arm,"Protein-rich foods (chicken, eggs, legumes); Vitamin C-rich foods (citrus fruits, strawberries); Zinc sources (beef, pumpkin seeds); Hydration; Anti-inflammatory foods (turmeric, ginger)",Requires Clinical Validation - not specified in source data
Injury To The Leg,"Protein-rich foods (lean meats, beans); Vitamin C-rich foods (oranges, strawberries); Zinc-rich foods (shellfish, pumpkin seeds); Anti-inflammatory spices (ginger, turmeric); Hydration",Requires Clinical Validation - not specified in source data
Injury To The Trunk,"High-protein foods (tofu, lean meats); Vitamin C-rich foods (bell peppers, kiwi); Zinc sources (shellfish, nuts); Hydration; Anti-inflammatory spices (ginger, turmeric)",Requires Clinical Validation - not specified in source data
Irritable Bowel Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Liver Disease,"Low sodium diet (avoid processed foods); High-protein foods (eggs, lean meats); Vitamin-rich foods (leafy greens, fruits); Avoid alcohol and saturated fats; Hydration",Requires Clinical Validation - not specified in source data
Macular Degeneration,"Vitamin A-rich foods (carrots, sweet potatoes); Lutein and zeaxanthin foods (spinach, kale); Omega-3 fatty acids (fish, walnuts); Zinc-rich foods (pumpkin seeds, beef); Antioxidant-rich foods (blueberries, citrus)",Requires Clinical Validation - not specified in source data
Marfan Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Marijuana Abuse,"Hydration (water, herbal teas); Omega-3s for brain health (walnuts, flaxseeds); Foods rich in B vitamins (eggs, poultry, leafy greens); Antioxidant-rich foods (berries, nuts); Limit processed foods",Requires Clinical Validation - not specified in source data
Metabolic Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Migraine,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Multiple Sclerosis,"Omega-3 fatty acids (flaxseeds, salmon); Vitamin D-rich foods (eggs, fortified milk); Antioxidant-rich foods (berries, spinach); Limit saturated fats; Probiotics",Requires Clinical Validation - not specified in source data
Niemann Pick Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Noninfectious Gastroenteritis,"Bland diet (bananas, rice, applesauce); Hydration; Avoid spicy, fatty, and dairy foods; Probiotics (yogurt, kefir); Small frequent meals",Requires Clinical Validation - not specified in source data
Nose Disorder,"Hydration; Vitamin C-rich foods (citrus, strawberries); Zinc-rich foods (meat, seeds); Avoid allergens and irritants; Warm fluids and anti-inflammatory foods (ginger, honey)",Requires Clinical Validation - not specified in source data
Obesity,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Obstructive Sleep Apnea (osa),"Weight management diet (calorie control); Avoid alcohol and sedatives; High-fiber foods (whole grains, fruits); Avoid heavy meals before bedtime; Hydration",Requires Clinical Validation - not specified in source data
Osteoarthritis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Osteopetrosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Otitis Externa (swimmers Ear),"Hydration; Avoid irritants and allergens; Vitamin C-rich foods (citrus fruits, bell peppers); Anti-inflammatory foods (turmeric, ginger); Probiotics (yogurt, kefir)",Requires Clinical Validation - not specified in source data
Otitis Media,"Hydrating fluids (water, herbal teas); Vitamin C-rich foods (citrus fruits); Probiotics (yogurt, kefir); Avoid dairy if it increases mucus; Anti-inflammatory foods (ginger, turmeric)",Requires Clinical Validation - not specified in source data
Pain After An Operation,"High-protein foods (eggs, fish); Vitamin C-rich foods (kiwi, strawberries); Zinc-rich foods (beef, nuts); Anti-inflammatory foods (turmeric, ginger); Hydration",Requires Clinical Validation - not specified in source data
Panic Disorder,"Magnesium-rich foods (spinach, pumpkin seeds, almonds); Omega-3 fatty acids (salmon, flaxseeds, walnuts); Complex carbs (oats, quinoa); Green tea (L-theanine); Limit caffeine and sugar",Requires Clinical Validation - not specified in source data
Parkinsons,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Pelvic Inflammatory Disease,"Hydration; Protein-rich foods (chicken, beans); Vitamin C-rich foods (citrus fruits); Avoid irritants and processed foods; Probiotics (yogurt, kefir)",Requires Clinical Validation - not specified in source data
Peptic Ulcer Disease,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Peripheral Nerve Disorder,"Vitamin B-rich foods (whole grains, eggs, leafy greens); Omega-3 fatty acids (salmon, chia seeds); Anti-inflammatory foods (turmeric, berries); Hydration",Requires Clinical Validation - not specified in source data
Personality Disorder,"Balanced diet; Omega-3 fatty acids (walnuts, flaxseed); Vitamin B-complex (eggs, legumes); Magnesium-rich foods (dark chocolate, spinach); Avoid sugar and processed foods",Requires Clinical Validation - not specified in source data
Pneumonia,"Hydrating fluids (water, herbal teas); Protein-rich foods (chicken, beans); Vitamin C-rich foods (oranges, broccoli); Avoid dairy if mucus worsens; Anti-inflammatory foods (turmeric, ginger)",Requires Clinical Validation - not specified in source data
Polycystic Ovary Syndrome,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Problem During Pregnancy,"Prenatal vitamins (consult doctor); Iron-rich foods (red meat, lentils, spinach); Folate-rich foods (leafy greens, fortified cereals); Calcium and Vitamin D (milk, cheese, fortified plant milk); Avoid raw fish, deli meats, unpasteurized dairy",Requires Clinical Validation - not specified in source data
Psoriasis,"Anti-inflammatory foods (turmeric, ginger, berries); Omega-3 fatty acids (salmon, walnuts); Vitamin D-rich foods (egg yolk, fortified cereals); Avoid gluten if sensitive; Hydration",Requires Clinical Validation - not specified in source data
Pyogenic Skin Infection,"Protein-rich foods (lean meat, eggs); Vitamin C-rich foods (citrus fruits, kiwi); Zinc-rich foods (pumpkin seeds, nuts); Hydration; Avoid sugary and processed foods",Requires Clinical Validation - not specified in source data
Rectal Disorder,"High-fiber foods (whole grains, fruits, vegetables); Hydration; Avoid spicy and processed foods; Probiotics (yogurt, sauerkraut); Limit caffeine and alcohol",Requires Clinical Validation - not specified in source data
Schizophrenia,"Omega-3 fatty acids (fish, flaxseeds); Complex carbs (whole grains, vegetables); Vitamin B-complex foods (eggs, nuts); Antioxidant-rich foods (berries, citrus); Limit caffeine and processed foods",Requires Clinical Validation - not specified in source data
Seasonal Allergies (hay Fever),"Quercetin-rich foods (onions, apples); Vitamin C-rich foods (citrus fruits); Omega-3 fatty acids (flaxseeds, fish); Probiotics (yogurt, kimchi); Avoid allergens",Requires Clinical Validation - not specified in source data
Sebaceous Cyst,"Anti-inflammatory foods (ginger, turmeric, leafy greens); Zinc-rich foods (pumpkin seeds, nuts); Vitamin A-rich foods (carrots, sweet potatoes); Hydration",Requires Clinical Validation - not specified in source data
Sepsis,"High-protein foods (eggs, lean meat); Hydration; Vitamin C and zinc-rich foods (citrus fruits, pumpkin seeds); Balanced electrolyte intake; Consult doctor for specific nutritional support",Requires Clinical Validation - not specified in source data
Sickle Cell Crisis,"Folate-rich foods (leafy greens, legumes); Hydrating fluids (water, herbal teas); Iron-rich foods (lean meats, beans); Vitamin B6-rich foods (bananas, poultry); Balanced protein intake",Requires Clinical Validation - not specified in source data
Sinus Bradycardia,"Balanced diet with adequate electrolytes (potassium from bananas, magnesium from nuts); Hydration; Limit caffeine and alcohol; Whole grains and lean proteins; Consult cardiologist",Requires Clinical Validation - not specified in source data
Sinusitis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Skin Pigmentation Disorder,"Vitamin C-rich foods (oranges, bell peppers); Vitamin E-rich foods (almonds, sunflower seeds); Beta-carotene (carrots, sweet potatoes); Hydration; Green tea",Requires Clinical Validation - not specified in source data
Skin Polyp,"Balanced diet with antioxidants (berries, leafy greens); Vitamin A-rich foods (carrots, sweet potatoes); Hydration; Avoid processed and fried foods; Omega-3 fatty acids (fish, flaxseeds)",Requires Clinical Validation - not specified in source data
Spinal Muscular Atrophy,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Spinal Stenosis,"Anti-inflammatory foods (berries, leafy greens); Omega-3 fatty acids (salmon, flaxseeds); Calcium-rich foods (milk, cheese); Vitamin D-rich foods (egg yolk, fortified cereals); Protein-rich foods (chicken, legumes)",Requires Clinical Validation - not specified in source data
Spondylosis,"Calcium-rich foods (milk, cheese, fortified plant milk); Vitamin D-rich foods (egg yolk, fortified cereals); Anti-inflammatory foods (turmeric, leafy greens); Magnesium sources (nuts, seeds); Omega-3 fatty acids (flaxseeds, fish)",Requires Clinical Validation - not specified in source data
Spontaneous Abortion,"Iron-rich foods (red meat, spinach); Vitamin C (citrus, strawberries); Folate-rich foods (legumes, dark leafy greens); Hydration; Comforting herbal teas",Requires Clinical Validation - not specified in source data
Sprain Or Strain,"Protein-rich foods (lean meat, eggs); Anti-inflammatory foods (ginger, turmeric); Vitamin C-rich foods (citrus fruits); Hydration; Zinc-rich foods (nuts, seeds)",Requires Clinical Validation - not specified in source data
Strep Throat,"Soft foods (soups, mashed potatoes); Warm teas (ginger, chamomile); Hydration; Avoid acidic or spicy foods; Vitamin C-rich foods (oranges, strawberries)",Requires Clinical Validation - not specified in source data
Stroke,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Stye,"Vitamin A-rich foods (carrots, sweet potatoes); Vitamin C-rich foods (citrus); Hydration; Omega-3 fatty acids (salmon, flaxseeds); Avoid eye irritants",Requires Clinical Validation - not specified in source data
Systemic Lupus Erythematosus,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Temporary Or Benign Blood In Urine,"Hydration; Avoid irritants (spicy foods, caffeine); Balanced diet with fruits and vegetables; Limit sodium and processed foods; Consult doctor for specific recommendations",Requires Clinical Validation - not specified in source data
Threatened Pregnancy,"Folic acid-rich foods (leafy greens, beans); Iron-rich foods (red meat, lentils); Hydration; Balanced diet with protein (chicken, fish); Avoid alcohol, caffeine, and high-mercury fish",Requires Clinical Validation - not specified in source data
Thyroid Disorder,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Tuberculosis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Type2 Diabetes,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Typhoid Fever,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Ulcer,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Ulcerative Colitis,Requires Clinical Validation,Requires Clinical Validation - not specified in source data
Urinary Tract Infection,"Hydration (water, cranberry juice); Avoid caffeine, alcohol, and spicy foods; Vitamin C-rich foods (citrus, bell peppers); Probiotics (yogurt, kefir); Fiber-rich foods",Requires Clinical Validation - not specified in source data
Vaginal Cyst,"Probiotics (yogurt, kefir); Anti-inflammatory foods (berries, leafy greens); Hydration; Avoid irritants and processed foods; Omega-3 fatty acids (salmon, flaxseeds)",Requires Clinical Validation - not specified in source data
Vaginitis,"Probiotics (yogurt, kefir, sauerkraut); Low-sugar diet (avoid sweets, processed sugar); Garlic (raw or cooked); Cranberry juice (unsweetened); Hydration (water, herbal teas)",Requires Clinical Validation - not specified in source data
Vulvodynia,"Anti-inflammatory foods (blueberries, leafy greens); Probiotics (yogurt, kimchi); Omega-3 fatty acids (flaxseeds, salmon); Vitamin E-rich foods (nuts, seeds); Avoid irritants and processed foods",Requires Clinical Validation - not specified in source data
